process_failure,human_error,system_failure,legal_risk,regulatory_compliance,fraud_risk,overall,date
0.33128588593736735,0.4896013487406106,0.4291818069482022,0.34551892304736714,0.1538266295156327,0.15982189818890535,0.3349439888199738,2024-08-01 15:37:00.364580
0.36809332809814443,0.43312729198721234,0.44808641815615696,0.3433952779026695,0.1235274777603219,0.21291330887568305,0.3091672286764021,2024-08-02 15:37:00.364580
0.3412149423964896,0.4233369725241931,0.5097900468002254,0.38870322077960223,0.03859248039001857,0.14470885892932095,0.35677655183057966,2024-08-03 15:37:00.364580
0.36628219745596335,0.46492723992304535,0.5317360388396963,0.3100231613181269,0.0574141603278885,0.15186896859055218,0.2647208888745461,2024-08-04 15:37:00.364580
0.3750662011614669,0.430167997008271,0.5117933328818688,0.2411780683314495,0.08020328372337854,0.2036198896658896,0.3672205903136961,2024-08-05 15:37:00.364580
0.27564887887050366,0.3840159555447403,0.5085393505594414,0.23288089482024285,0.053594652950268655,0.18740080549854243,0.2481053492030658,2024-08-06 15:37:00.364580
0.22622487891025728,0.37446363976977537,0.5165460484751144,0.2633099864894701,0.11971527723268513,0.06282007239225859,0.18965188637547847,2024-08-07 15:37:00.364580
0.2456260015945081,0.3189783416603179,0.48605180543499066,0.30310224518012896,0.129795095804648,0.08462647611247039,0.33618246068386964,2024-08-08 15:37:00.364580
0.3216271399608604,0.41626568122312146,0.4863041685642363,0.27412161288478654,0.10288500266889244,0.1571842618979546,0.2639846772528652,2024-08-09 15:37:00.364580
0.3092569679384906,0.4122155747605518,0.47931078754383194,0.1458634176333017,0.03705503290480647,0.11077236482060442,0.17173264337535651,2024-08-10 15:37:00.364580
0.28157498331530695,0.37161852062289497,0.5026194572236942,0.12625802433901248,0.06355861381014032,0.031304367379248355,0.2217676098452876,2024-08-11 15:37:00.364580
0.2880423636350349,0.37873659012846134,0.6006512205277825,0.15453532339218917,0.10081693428112999,0.0607217403062348,0.17151780317396645,2024-08-12 15:37:00.364580
0.2586083109573429,0.36918335813749675,0.5980878436869311,0.16104306476392993,0.08662303498290151,0.2154719209283811,0.35934426293742683,2024-08-13 15:37:00.364580
0.2460932079198119,0.3546757102539608,0.6620561154907583,0.19695548650578787,0.1046315338330339,0.19533689667628443,0.34562865439726953,2024-08-14 15:37:00.364580
0.24811368628692462,0.3254168673607364,0.6743481352020473,0.26193628726372303,0.19501098855415344,0.14620775489933008,0.2447274664441152,2024-08-15 15:37:00.364580
0.19782245552478336,0.29535511196046554,0.6649611845997628,0.2559129942491884,0.24510240491972235,0.01,0.19931937212354525,2024-08-16 15:37:00.364580
0.24405857835370365,0.21982780325251466,0.6243914446422483,0.23595323197715345,0.14025651460727098,0.05846866414782517,0.24257051450943867,2024-08-17 15:37:00.364580
0.18581346693746736,0.29218012646211516,0.6178763720550512,0.19491543467695072,0.11228602291478643,0.013105529182501102,0.20871699878883967,2024-08-18 15:37:00.364580
0.12511349114567247,0.3213989682917977,0.6086310371596424,0.13157460579653535,0.11510887341443186,0.01,0.20382727425487907,2024-08-19 15:37:00.364580
0.14370087838184503,0.3358915276043846,0.5581934445547017,0.05931780561287152,0.1281960238916487,0.01,0.1872456493040478,2024-08-20 15:37:00.364580
0.18843916346252332,0.3277010716501271,0.5173376799633872,0.03789827839923211,0.14521895629540263,0.01,0.15293396756713545,2024-08-21 15:37:00.364580
0.20258561934889568,0.2785389960375994,0.5253313897184438,0.10299859884907434,0.17505504095910296,0.04760304466259483,0.17522895741646,2024-08-22 15:37:00.364580
0.20167392426203887,0.24179450897150426,0.5923410216942386,0.14674496247358407,0.17637288229693474,0.030347382694883008,0.1945158013716661,2024-08-23 15:37:00.364580
