transition_risk,physical_risk,regulatory_risk,market_risk,technology_risk,reputation_risk,overall,date
0.4310526599190681,0.5517162247843596,0.32902833114640495,0.018615415175511296,0.3858716263427355,0.26979433729588764,0.3842046137216026,2024-08-01 15:37:00.524652
0.41402930872235705,0.5932413603990377,0.2872199065456094,0.08114369627382477,0.4587594001381543,0.29521271083752787,0.5300796738062957,2024-08-02 15:37:00.524652
0.35502319950500527,0.5775659869147437,0.4282341011015272,0.05314877981511125,0.5131142327914016,0.23329752221789832,0.36610257593882023,2024-08-03 15:37:00.524652
0.3751332998176875,0.5494097306457643,0.3515016761411071,0.04617392808573019,0.49871437351457304,0.2032352692120075,0.371806009719903,2024-08-04 15:37:00.524652
0.38648633326434556,0.5084304986466871,0.4299611358251944,0.03988964148525809,0.5336801239553495,0.14090458598731398,0.24459437634677578,2024-08-05 15:37:00.524652
0.40374667300393574,0.541083203505367,0.42808361898969394,0.18160477873758304,0.3965222833300943,0.2938488317410048,0.4037206767972781,2024-08-06 15:37:00.524652
0.4366297160517673,0.42507308206113836,0.46928947564733814,0.18356176220558648,0.4946447473943014,0.287808364763656,0.3814675582765359,2024-08-07 15:37:00.524652
0.39126452411252594,0.4357275681901076,0.4968810992979584,0.1540331667659222,0.5260477508979321,0.32811414643728887,0.35822324028823116,2024-08-08 15:37:00.524652
0.36369467507523,0.48383930838657924,0.6256540491498962,0.20727006096082634,0.5654998211316402,0.2794751838267627,0.35849898198342545,2024-08-09 15:37:00.524652
0.37104836874464986,0.4046463270992253,0.7567830607273485,0.3549704988394986,0.6533702315067415,0.2552723890710541,0.6170337361654578,2024-08-10 15:37:00.524652
0.34794513400934785,0.49029107269521766,0.8351270072596502,0.32695494552419746,0.7348759340458226,0.26351326117765334,0.4034928714438369,2024-08-11 15:37:00.524652
0.33096073064478165,0.4853754749584023,0.8351107482822017,0.37986404473502833,0.6827332454231795,0.25020614839148514,0.46178108469854406,2024-08-12 15:37:00.524652
0.5230482844802997,0.4440720167323494,0.8018820649447999,0.3659944820314214,0.6934430454540944,0.1466649320594259,0.3998957706408599,2024-08-13 15:37:00.524652
0.4009474372171793,0.42266750955008586,0.731768546277366,0.357939304688198,0.6538816923068025,0.19503970581926489,0.38965687129152893,2024-08-14 15:37:00.524652
0.4512251576969337,0.3753226727072149,0.589460937902519,0.39704868818766065,0.5800392011739991,0.18939601939803358,0.3986837098614562,2024-08-15 15:37:00.524652
0.452201988855611,0.3620143432168299,0.5774157991671368,0.4114724420929129,0.6009148221624024,0.21635937360226998,0.35300842699125284,2024-08-16 15:37:00.524652
0.38242466390216173,0.2920458992897903,0.6110388279089218,0.43992372885691067,0.6587779672499838,0.26588446102167873,0.4329560725966744,2024-08-17 15:37:00.524652
0.4672836879433174,0.4054262388018097,0.6203068145711008,0.4742698442142817,0.5715448412776676,0.1496796016703439,0.47833908082275023,2024-08-18 15:37:00.524652
