process_failure,human_error,system_failure,legal_risk,regulatory_compliance,fraud_risk,overall,date
0.21796029292063568,0.4659796772876915,0.24310518079586008,0.39881983189983716,0.05739458272822033,0.01,0.29400305329266574,2024-08-01 15:37:00.515584
0.3063057511898948,0.36962664936326434,0.18425911476794263,0.5086295740358255,0.09131916306818,0.01,0.21350256527310768,2024-08-02 15:37:00.515584
0.26714869434915384,0.3487577640458415,0.1734225532439125,0.4012171759319309,0.17305831505884672,0.023656203020963912,0.28975799062079505,2024-08-03 15:37:00.515584
0.22971828427467045,0.211594504883782,0.3109032877268493,0.2070206581977342,0.23698984680035007,0.01,0.08556238126843306,2024-08-04 15:37:00.515584
0.06824058680963363,0.3922289431468494,0.3096430055012499,0.19704426292927027,0.23372142538089666,0.0527267329398944,0.21524409508414222,2024-08-05 15:37:00.515584
0.031099804545054677,0.483281471684452,0.4283904383850002,0.1820107197939147,0.1824505942867402,0.07952482999652472,0.23561356813561987,2024-08-06 15:37:00.515584
0.01,0.48935422886499125,0.46374345110352055,0.28145753264019346,0.01,0.04338058003797193,0.1665691128962403,2024-08-07 15:37:00.515584
0.01,0.4012580972889153,0.5087316004637229,0.23157691215128995,0.10679102561175337,0.036546040003468006,0.22591774093716055,2024-08-08 15:37:00.515584
0.03875282046879238,0.2999705769918239,0.5700672964272911,0.2257858951650843,0.3313597413061631,0.01,0.2203659727003714,2024-08-09 15:37:00.515584
0.01,0.28843818033387186,0.5489831091341926,0.26525459545566005,0.24535329508221257,0.11497324178791744,0.2501839227158207,2024-08-10 15:37:00.515584
0.01,0.3891340260703424,0.5350603842487602,0.3235893608467022,0.36568159382795906,0.21360234407400763,0.18526841992110332,2024-08-11 15:37:00.515584
0.01,0.5831189888138384,0.6748190865812695,0.40339767140934885,0.5657322595586205,0.3792154187115625,0.4152190696730681,2024-08-12 15:37:00.515584
0.01,0.4366062819912323,0.5959389020462791,0.4238299437092521,0.5134146009026841,0.48452079446033464,0.314527991119698,2024-08-13 15:37:00.515584
0.01,0.49357289156072776,0.7687360002350467,0.29545525172820486,0.49964903542713635,0.5099442858198827,0.39167791932953766,2024-08-14 15:37:00.515584
0.052886359500475544,0.42632999007050865,0.7656096417143733,0.34315128431705877,0.5225405498052369,0.5620946990528409,0.5239259933680387,2024-08-15 15:37:00.515584
0.01,0.37880095219051363,0.6817239938811666,0.2833580307220229,0.5656828394915183,0.5905488857402486,0.5049203594122248,2024-08-16 15:37:00.515584
0.10584665799954103,0.3872130673754706,0.7197179044032346,0.4155184363292853,0.5907037514673527,0.6882532121153809,0.30684075067117295,2024-08-17 15:37:00.515584
0.14019115321856102,0.3072574023655933,0.5172779360885198,0.41936967218642723,0.544503707151806,0.8540439201554954,0.4597949369429986,2024-08-18 15:37:00.515584
0.1441167673188089,0.29049972756067266,0.35552375693552146,0.4449765065259627,0.6019357107798208,0.891047468319135,0.5022571790915731,2024-08-19 15:37:00.515584
