legacy_systems,digital_transformation,tech_debt,innovation_gap,digital_competence,data_management,overall,date
0.2033250410057323,0.17496964182794608,0.36700410779883913,0.26877951457407834,0.36857948377733163,0.18124308184769175,0.23868961123655974,2024-08-01 15:37:00.553744
0.29819790739657037,0.2041629303539842,0.4984207291230549,0.15441476692239742,0.4144718489778025,0.25020866750024773,0.3254956233892124,2024-08-02 15:37:00.553744
0.2920255030574883,0.16701221792380036,0.4324729961384664,0.27066271749596293,0.364210336572175,0.1732853578567859,0.28230225327378994,2024-08-03 15:37:00.553744
0.241178627719544,0.2487840313961582,0.42747150196640565,0.35457403579180957,0.46848550750786055,0.22644572351615355,0.31296016413053507,2024-08-04 15:37:00.553744
0.237926000714244,0.10147726479385796,0.2839305625461467,0.3859543547182171,0.44580123434781666,0.2948087724187517,0.2915291488637536,2024-08-05 15:37:00.553744
0.26218613929889234,0.01,0.28107291215219365,0.29084104446455483,0.39624598583482945,0.15391833269912678,0.21781555554056306,2024-08-06 15:37:00.553744
0.2326503326255687,0.07209992694457622,0.23213662870333046,0.415394028190962,0.35963573337371896,0.07493981631193421,0.2316194198718616,2024-08-07 15:37:00.553744
0.23547036756403367,0.13391394876705376,0.29585049380468786,0.47202741011995897,0.41811434935741876,0.01,0.2610628598291244,2024-08-08 15:37:00.553744
0.46447682880956054,0.23328036571415234,0.35570529487288194,0.4448126295221134,0.4236033426816713,0.13456867131412098,0.22294019975619989,2024-08-09 15:37:00.553744
0.3546806475820814,0.2557960205734559,0.3974530524886869,0.4794200551389094,0.46200000400088514,0.1065572070919851,0.35161689426610493,2024-08-10 15:37:00.553744
0.19968282027353934,0.3774340178858563,0.3460772789506951,0.47135337565003166,0.5291689003959931,0.22121800068414557,0.25723759112277844,2024-08-11 15:37:00.553744
0.22002479860804378,0.43072871261475276,0.3259886645604674,0.5252569313477684,0.507418923289821,0.20464181822161814,0.3348546085096832,2024-08-12 15:37:00.553744
0.263487305958898,0.37349509246767276,0.45451731186630384,0.4511631973317652,0.5832022556052516,0.1358062280329594,0.2965517298962631,2024-08-13 15:37:00.553744
0.26082808316128986,0.47472417960034635,0.5436930901749573,0.2976178835804327,0.5775333489205097,0.0936355079063508,0.3858818263953912,2024-08-14 15:37:00.553744
0.194318659478025,0.4990702139104746,0.6025232453390502,0.44819888695598986,0.5329641829466589,0.12277847386269683,0.466566618760931,2024-08-15 15:37:00.553744
0.32702369196280767,0.4888433347051506,0.611984809037243,0.508376186048481,0.4188640339213957,0.19539205548313138,0.3476984976079081,2024-08-16 15:37:00.553744
0.33620960562151814,0.5599468324442018,0.624394447284458,0.521159163821326,0.3993929069324961,0.27728255487651504,0.48527266589706647,2024-08-17 15:37:00.553744
0.353423303862562,0.5566103351661442,0.6623730738419806,0.6226051411774778,0.5198222678319648,0.3739426740891211,0.5884235028019597,2024-08-18 15:37:00.553744
0.42479078973728807,0.6081635066114612,0.6415146621328099,0.7590091396923546,0.5796234464695047,0.31506649011699506,0.570318347838205,2024-08-19 15:37:00.553744
0.4108123944260152,0.5065720481079429,0.5710224844850614,0.7698600308230216,0.6096839363620662,0.2512053827196642,0.513788655887628,2024-08-20 15:37:00.553744
0.3903022350409018,0.5076513171593046,0.6816768911293258,0.9156440343196374,0.519585010693092,0.323206344406299,0.46843210368194127,2024-08-21 15:37:00.553744
0.5132038003022592,0.4514371358647011,0.6515796016764601,0.9344856549359499,0.4754904018877665,0.2428898925312159,0.5519977266818817,2024-08-22 15:37:00.553744
0.37970688716074197,0.6245566861995826,0.6887556651801724,0.99,0.5253701251687821,0.22502933430436653,0.6544213149603706,2024-08-23 15:37:00.553744
0.41074155130710777,0.7212169562617644,0.564099137925025,0.8800046642873339,0.5930288632558868,0.30257710388399417,0.3949304634828227,2024-08-24 15:37:00.553744
