model_risk,data_quality,bias,explainability,stability,regulatory_compliance,overall,date
0.5921591213429306,0.4985813186908832,0.01,0.33188454307608045,0.25091977760592776,0.01,0.33908593941963583,2024-08-01 15:37:00.496683
0.6124129884840092,0.5659478067690844,0.01,0.2609551397815284,0.2695753720750719,0.0158482358239315,0.1865585108897015,2024-08-02 15:37:00.496683
0.5602833439207504,0.4989362568622634,0.01,0.394056276044525,0.2664975501973402,0.09976511082145509,0.32366570614851,2024-08-03 15:37:00.496683
0.7509755870041288,0.5766872770412235,0.01,0.3987207545937811,0.3266295682614651,0.14810732727291304,0.2893259912642138,2024-08-04 15:37:00.496683
0.7723731941173875,0.5214135665278795,0.09690705279989666,0.1892729440654202,0.2959535867940526,0.20731014558406582,0.44013488484096963,2024-08-05 15:37:00.496683
0.7800111431266846,0.5093070255818187,0.1348835274264965,0.31765793568518297,0.2552372055064,0.291041254172382,0.38524826594054706,2024-08-06 15:37:00.496683
0.7060605370966011,0.6267843251092867,0.15183326949582046,0.24996874894358123,0.47291728572727054,0.20526234536600083,0.46006012482939285,2024-08-07 15:37:00.496683
0.8428057827427508,0.5484109961832878,0.040986517676325246,0.1922591156360355,0.30963832941090136,0.29406281589967614,0.4102786834375198,2024-08-08 15:37:00.496683
0.9120288541462349,0.7043507463709462,0.1097135700259918,0.2956943580075749,0.2550445138481099,0.47002513714185346,0.3398892262307771,2024-08-09 15:37:00.496683
0.9603379201210887,0.6769950443560284,0.01,0.41755670303486475,0.36388351047281275,0.44024449636436486,0.5585607438500811,2024-08-10 15:37:00.496683
0.99,0.7340303323019746,0.015102732934196636,0.3491564222410121,0.4420875712179687,0.5325181705034604,0.6494574084998388,2024-08-11 15:37:00.496683
0.99,0.7821734406075237,0.01,0.3105039659062596,0.4162647049020932,0.5399425290009094,0.6156583606560252,2024-08-12 15:37:00.496683
0.99,0.5612292703479327,0.07675702428438953,0.26729698356556075,0.49977236084273224,0.5769694433998507,0.453355163897385,2024-08-13 15:37:00.496683
0.9672017471689441,0.5652624379834789,0.01,0.260899898691747,0.5164909328699508,0.6526109983981138,0.3977523296941592,2024-08-14 15:37:00.496683
0.8673451980172853,0.484478847799639,0.05310054157755548,0.28246241363441593,0.4772319492017222,0.6727855027981215,0.4500206995537963,2024-08-15 15:37:00.496683
0.7386542281312674,0.31502457166094433,0.07970658405740405,0.32370987112900007,0.5431871711120806,0.6277045106695636,0.3319560955966551,2024-08-16 15:37:00.496683
0.688263614676959,0.34371723808548715,0.01,0.32893109405268367,0.5487738851440835,0.6532341902133886,0.5236968839526551,2024-08-17 15:37:00.496683
0.40716683970365497,0.4036339099147165,0.10582810588607679,0.28290466157920136,0.38786913656159294,0.5680656403942699,0.3436614582404473,2024-08-18 15:37:00.496683
0.5341968961599362,0.357653532978923,0.1508977972133036,0.20398887110841082,0.4583992714977968,0.43794075558755374,0.400612716174088,2024-08-19 15:37:00.496683
0.5659335658818705,0.37809694470132665,0.01,0.25848543489806464,0.45505079055936637,0.25040769579297173,0.3257380863988128,2024-08-20 15:37:00.496683
0.48540415048817,0.4975093223550661,0.01,0.3364369094046652,0.5977593766104663,0.396364767516285,0.24428409036840915,2024-08-21 15:37:00.496683
0.5798206777396258,0.48006832841124225,0.012202660816318092,0.330347747743708,0.676655833195991,0.44532390209243994,0.4513918513411906,2024-08-22 15:37:00.496683
