,asset_id,issuer_id,issuer_name,industry,rating,country,asset_type,issue_date,maturity_date,maturity_years,coupon,face_value,market_value,quantity,pd_1y,lgd,ead,risk_weight,expected_loss
0,BND0001,ISS025,Company 25,Telecommunications,BBB,US,Sovereign Bond,2024-08-25 15:10:10.372959,2031-08-24 15:10:10.372959,7,2.0967309742966966,5000,897.4473263034008,13,0.01070886862861128,0.4903104945120722,0.9875852940378194,1.5,60.49809707347936
1,BND0002,ISS017,Company 17,Technology,BB,US,Corporate Bond,2022-06-06 15:10:10.372959,2032-06-03 15:10:10.372959,10,2.434973769853852,10000,939.5334374345898,664,0.03677973523651331,0.5380577012155457,0.9198911101764733,1.5,11356.753321618617
2,BND0003,ISS025,Company 25,Telecommunications,BBB,US,Municipal Bond,2020-11-28 15:10:10.372959,2023-11-28 15:10:10.372959,3,1.616423056407469,1000,1029.6833753380686,510,0.007127938845313815,0.4903104945120722,0.9929098616264617,1.5,1822.2957196439272
3,BND0004,ISS008,Company 8,Energy,CCC,US,Municipal Bond,2020-05-08 15:10:10.372959,2022-05-08 15:10:10.372959,2,2.95095354542404,1000,875.6960356203635,507,0.014579059866536745,0.4311484646330074,0.9977984493677334,1.0,2784.585330006989
4,BND0005,ISS005,Company 5,Energy,BB,JP,Corporate Bond,2022-03-12 15:10:10.372959,2029-03-10 15:10:10.372959,7,2.8016509062447086,5000,1008.3021362254763,631,0.002945699862178756,0.6071715602526515,0.9211798205442082,1.0,1048.2488093978745
5,BND0006,ISS023,Company 23,Materials,A,US,Municipal Bond,2021-07-05 15:10:10.372959,2026-07-04 15:10:10.372959,5,0.5,5000,981.4300251743512,539,0.003339195300936857,0.5266377080952774,0.9247905613666008,0.5,860.2907765932972
6,BND0007,ISS011,Company 11,Technology,CCC,US,Corporate Bond,2022-03-03 15:10:10.372959,2023-03-03 15:10:10.372959,1,2.01914886435818,10000,916.0652153354678,82,1.5936639476835283e-05,0.4096777853473166,0.9058873766876323,0.5,0.44427678037817314
7,BND0008,ISS029,Company 29,Real Estate,BBB,EU,Corporate Bond,2023-06-04 15:10:10.372959,2024-06-03 15:10:10.372959,1,5.158674801298449,10000,921.4013903106986,695,0.00860427112775742,0.6424070627003342,0.9539233931394755,2.0,3376.5373716317868
8,BND0009,ISS008,Company 8,Energy,CCC,US,Sovereign Bond,2020-09-30 15:10:10.372959,2030-09-28 15:10:10.372959,10,3.366312892330628,1000,878.2977389475647,684,0.009751300264707117,0.4311484646330074,0.9423578623019921,2.0,2380.143261737697
9,BND0010,ISS028,Company 28,Telecommunications,AA,US,Municipal Bond,2021-07-01 15:10:10.372959,2031-06-29 15:10:10.372959,10,4.073097927130069,10000,879.5253613455877,422,0.00673281236515514,0.380280616869749,0.9800592510861699,0.5,931.3520000448558
10,BND0011,ISS008,Company 8,Energy,CCC,US,Sovereign Bond,2022-04-08 15:10:10.372959,2025-04-07 15:10:10.372959,3,2.819182998223978,1000,976.5644919503212,295,0.010860372691333608,0.4311484646330074,0.987448595407058,0.5,1332.0146901276598
11,BND0012,ISS015,Company 15,Technology,BBB,UK,Municipal Bond,2020-06-22 15:10:10.372959,2030-06-20 15:10:10.372959,10,0.5,1000,865.1764988574644,563,0.0012208358608623057,0.42904234034204153,0.9968996257284751,1.0,254.34427847508127
12,BND0013,ISS006,Company 6,Energy,BBB,US,Corporate Bond,2022-07-30 15:10:10.372959,2027-07-29 15:10:10.372959,5,2.807046117255691,5000,1120.7328596531645,178,0.0032569068545166774,0.3532446452889435,0.9985308843779725,1.5,229.17357276983395
13,BND0014,ISS030,Company 30,Technology,BB,EU,Sovereign Bond,2022-09-22 15:10:10.372959,2032-09-19 15:10:10.372959,10,4.562544836281468,5000,1058.9774510800487,758,0.023422995592384494,0.5433767460922098,0.9555768323405618,2.0,9762.589214914498
14,BND0015,ISS005,Company 5,Energy,BB,JP,Corporate Bond,2024-01-21 15:10:10.372959,2027-01-20 15:10:10.372959,3,1.2214743131341361,10000,1070.7211536367129,72,0.0026926544540206055,0.6071715602526515,0.9057165272907484,2.0,114.154547665545
15,BND0016,ISS017,Company 17,Technology,BB,US,Corporate Bond,2022-04-19 15:10:10.372959,2042-04-14 15:10:10.372959,20,4.120558390115455,1000,1138.233670982335,92,0.05067609147569519,0.5380577012155457,0.9068521332703793,0.5,2589.331759626222
