,us_aa,us_a,us_bbb,us_bb,us_b
2018-01-01,0.501174228794142,1.0012014565757243,1.9978177273988247,3.505496566412103,5.009559665262067
2018-01-02,0.5014944505754212,0.9993922770875304,2.0004272209218636,3.5051351429859534,5.021693456588059
2018-01-03,0.5030070731567999,1.0013088771756171,2.002335713604382,3.5080878932918313,5.03452059616976
2018-01-04,0.5019932984570655,1.000253624770191,2.0019310067552722,3.4941593837401346,5.029857415598029
2018-01-05,0.5047372025584238,0.9965579720335396,2.001402403194733,3.4918500895033304,5.032815534952113
2018-01-08,0.5045985351421253,0.9957511128298412,2.003496593826218,3.496936656771392,5.033573924980593
2018-01-09,0.5059876262460417,1.0012531140846823,2.0066504779862706,3.4986690508516745,5.040169310236507
2018-01-10,0.5083784392438875,1.006622767031335,2.0069020776558975,3.488848004295314,5.0372776277841975
2018-01-11,0.5106086878748775,1.008082366939673,2.0113828354975247,3.4892165536585735,5.038207369355107
2018-01-12,0.511330344691681,1.007671190493432,2.014016939347247,3.4843040997034045,5.038930084131304
2018-01-15,0.5129690385044461,1.0085828958997172,2.00686308354834,3.478871584196364,5.044252708130461
2018-01-16,0.5164523598323907,1.009533452915917,2.001243496758171,3.4697474185564636,5.050809880341177
2018-01-17,0.5174795623003401,1.0094137926588158,2.005972437634258,3.4734596342879063,5.051746590664579
2018-01-18,0.5160202694962169,1.0107366247185836,2.0049853451083743,3.4801377209515203,5.052986498505238
2018-01-19,0.5171863709581447,1.0113613053050443,2.0056420483995643,3.4928585797564975,5.055245478712725
2018-01-22,0.5171118085221055,1.0104133881489514,2.010199210470201,3.4840142894060397,5.0717109929189546
2018-01-23,0.5124158062532969,1.0068276177508004,2.0101735656007134,3.4886185223733985,5.054411015005786
2018-01-24,0.513339802300703,1.00544744002414,2.0103226360390707,3.493617550595924,5.044714218393607
2018-01-25,0.5135731036007342,1.0078459965713606,2.006847719107904,3.490134522532616,5.051451014358067
2018-01-26,0.515885939143729,1.0077516098978747,2.008327697136814,3.48462905222016,5.0541488583464576
2018-01-29,0.5143857518287525,1.0086524705726372,2.010673746012681,3.478114598294358,5.056776353847966
2018-01-30,0.5113743325039939,1.007803423989524,2.00836221866467,3.474950478833597,5.0634513088351
2018-01-31,0.5117116942228149,1.004624631474492,2.0046741331514464,3.476166208408733,5.065591237766338
2018-02-01,0.5124720489980258,1.0039087423298765,2.0151792901722274,3.4843268804717735,5.059998412981845
2018-02-02,0.5126597148887969,1.0008413746276286,2.014807656292834,3.490958910499834,5.066286504382928
2018-02-05,0.5127011322561678,0.9975825071068178,2.012072886934397,3.4812664088342222,5.066495376012919
