,vix,vstoxx,vxn
2018-01-01,14.641023292580549,19.392081257412705,17.101635693095645
2018-01-02,19.60677908349838,13.052167943240999,15.691914125993266
2018-01-03,14.47384640411902,20.728409344144776,14.570182004483462
2018-01-04,15.097984567491853,21.195157347710268,15.750915968104003
2018-01-05,15.765566582938607,20.569206434268175,15.204836916262344
2018-01-08,17.4249444353862,10.692534757319661,19.264297819091173
2018-01-09,17.293979659060717,16.22165965427868,14.503298437652779
2018-01-10,14.021597023687578,17.941851906839414,21.303165588933446
2018-01-11,13.911636047079245,21.332552938665735,19.743181107670054
2018-01-12,17.493886925159284,21.388074294176068,17.761863530230396
2018-01-15,17.783354762030854,19.979852955551785,17.77207953525869
2018-01-16,14.520954322502385,22.619157750326686,16.277238860356878
2018-01-17,11.002691543211345,17.363612918909695,18.660001487773176
2018-01-18,15.205430545606596,22.66096055779178,21.01625133107917
2018-01-19,17.76094401548571,22.287396914950758,16.066259562928288
2018-01-22,21.369459347643808,22.035794770987124,13.806772244822051
2018-01-23,12.422021238554091,20.303861786537684,20.134110200109014
2018-01-24,14.798701561395767,26.802907428704245,19.137798762200514
2018-01-25,14.972548483212124,22.580244392155898,15.157127750003546
2018-01-26,20.270332492879234,17.960180001694443,16.303923843553424
2018-01-29,16.160052574711273,21.909605142827704,16.015277508972776
2018-01-30,13.60465116215498,23.578474379135393,16.455033064153945
2018-01-31,18.06425351770301,19.34339802806925,17.639959499749338
2018-02-01,15.235561939234753,24.765143763004556,17.862070177127947
2018-02-02,12.837388485850704,22.555407664333845,16.84788527744995
2018-02-05,13.893056179961706,13.889687827134402,16.60851707383997
2018-02-06,21.834070803765997,22.39657038441452,18.15160121772511
2018-02-07,17.844874582559235,20.18960265624765,19.322098700255125
2018-02-08,17.075552338686446,23.258413209681308,18.02683066135634
2018-02-09,16.062329681667084,24.610724839288892,22.216150932812344
2018-02-12,17.747899825597383,22.262804999824343,20.45346519891079
2018-02-13,17.771297520509645,27.015384226545436,14.634891919717173
2018-02-14,17.865916853311415,21.16223931007557,20.61363361534231
2018-02-15,17.392441010062694,23.780268499671006,20.900139935725008
2018-02-16,19.71246124366224,24.402636044470302,18.044255755402123
2018-02-19,17.233195364624496,21.560491752107286,15.131323968742297
2018-02-20,14.28752807190223,24.408458994785033,19.396285135187366
