,asset_id,issuer_id,issuer_name,industry,rating,country,asset_type,issue_date,maturity_date,maturity_years,coupon,face_value,market_value,quantity,pd_1y,lgd,ead,risk_weight,expected_loss
0,BND0001,ISS025,Company 25,Telecommunications,BBB,US,Sovereign Bond,2024-08-25 15:10:10.103157,2031-08-24 15:10:10.103157,7,2.0967309742966966,5000,897.4473263034008,13,0.003855557977969028,0.4903104945120722,0.9875852940378194,1.5,21.78137849225314
1,BND0002,ISS017,Company 17,Technology,BB,US,Corporate Bond,2022-06-06 15:10:10.103157,2032-06-03 15:10:10.103157,10,2.434973769853852,10000,939.5334374345898,664,0.012286814146831098,0.5380577012155457,0.9198911101764733,1.5,3793.89129575917
2,BND0003,ISS025,Company 25,Telecommunications,BBB,US,Municipal Bond,2020-11-28 15:10:10.103157,2023-11-28 15:10:10.103157,3,1.616423056407469,1000,1029.6833753380686,510,0.002635983370826696,0.4903104945120722,0.9929098616264617,1.5,673.9032584248522
3,BND0004,ISS008,Company 8,Energy,CCC,US,Municipal Bond,2020-05-08 15:10:10.103157,2022-05-08 15:10:10.103157,2,2.95095354542404,1000,875.6960356203635,507,0.003982345395686036,0.4311484646330074,0.9977984493677334,1.0,760.623844703537
4,BND0005,ISS005,Company 5,Energy,BB,JP,Corporate Bond,2022-03-12 15:10:10.103157,2029-03-10 15:10:10.103157,7,2.8016509062447086,5000,1008.3021362254763,631,0.0007405207698080946,0.6071715602526515,0.9211798205442082,1.0,263.5197242096442
5,BND0006,ISS023,Company 23,Materials,A,US,Municipal Bond,2021-07-05 15:10:10.103157,2026-07-04 15:10:10.103157,5,0.5,5000,981.4300251743512,539,0.0010059127615714577,0.5266377080952774,0.9247905613666008,0.5,259.15748940908725
6,BND0007,ISS011,Company 11,Technology,CCC,US,Corporate Bond,2022-03-03 15:10:10.103157,2023-03-03 15:10:10.103157,1,2.01914886435818,10000,916.0652153354678,82,4.574503396662808e-06,0.4096777853473166,0.9058873766876323,0.5,0.12752661210994246
7,BND0008,ISS029,Company 29,Real Estate,BBB,EU,Corporate Bond,2023-06-04 15:10:10.103157,2024-06-03 15:10:10.103157,1,5.158674801298449,10000,921.4013903106986,695,0.0023774360363449385,0.6424070627003342,0.9539233931394755,2.0,932.9670702130799
8,BND0009,ISS008,Company 8,Energy,CCC,US,Sovereign Bond,2020-09-30 15:10:10.103157,2030-09-28 15:10:10.103157,10,3.366312892330628,1000,878.2977389475647,684,0.0034379281034611882,0.4311484646330074,0.9423578623019921,2.0,839.1456716195763
9,BND0010,ISS028,Company 28,Telecommunications,AA,US,Municipal Bond,2021-07-01 15:10:10.103157,2031-06-29 15:10:10.103157,10,4.073097927130069,10000,879.5253613455877,422,0.0022412810155490828,0.380280616869749,0.9800592510861699,0.5,310.03709048798135
