,us_1y,us_5y,us_10y,euro_1y,euro_5y,euro_10y
2018-01-01,1.4948620024729196,2.0002370715987268,2.5095398192200604,0.4983353028249611,1.0021423922467623,1.500888304982345
2018-01-02,1.5085894991354083,2.001933382518532,2.511171822268682,0.4954593024310057,0.9947345197418711,1.5000252887442609
2018-01-03,1.4959019890593956,2.0064722536586133,2.5165890220617486,0.5025230263131021,0.9894170891416904,1.505918909177189
2018-01-04,1.4892225723548005,2.0099446470365034,2.514969476668282,0.4999400249883414,0.9874901760189094,1.508356997553358
2018-01-05,1.4836059667855463,2.008951198410689,2.50594944269159,0.4980065523199391,0.9938826646883395,1.50467934422382
2018-01-08,1.4834490871179769,2.009389210799154,2.51639565531789,0.5078873792583861,0.9892873602784158,1.5096664489144418
2018-01-09,1.480737990191509,1.9967503630488883,2.5244675871333433,0.5114452505086295,0.9920227760774216,1.5086239857593404
2018-01-10,1.4658257118776044,1.9914968772376835,2.5225391534165915,0.5230841926206541,0.9938449316409489,1.5069698681457193
2018-01-11,1.4618274850416497,1.9919511167208346,2.5247306393120423,0.5318975076491014,1.0033621152314236,1.5114348899867178
2018-01-12,1.4608319782098,1.9853284345376234,2.5346581528111205,0.5256873695305614,1.0031120365626471,1.5109907292824933
2018-01-15,1.454550999859002,1.9930697917004763,2.541428964220769,0.5326170255113621,0.9925834860529896,1.5129355219626948
2018-01-16,1.4614187547494788,1.987142102971881,2.529724154210771,0.5432941485558843,0.9964647088423703,1.5162452198830487
2018-01-17,1.4706128390370152,1.9890888516731158,2.5316731143826896,0.5540238404821483,1.0092930401121742,1.5123305044866868
2018-01-18,1.4698289720397213,1.9901379425844539,2.530332062178783,0.5609405123671851,1.013567340181373,1.514254757310098
2018-01-19,1.4721343879082285,1.9968544409269475,2.5392360677718924,0.5677131733315492,1.0088413706305106,1.521002122836406
2018-01-22,1.4505238279347359,2.0049615614932024,2.5474844096821534,0.5655945460258205,1.0023496953554367,1.5162197871177079
2018-01-23,1.4463128002131176,2.011207854991914,2.558033272307578,0.5597328714353734,0.9966318823543924,1.518469331561864
2018-01-24,1.4563610171306967,1.9922537991794655,2.5490901175978165,0.5572673502030913,1.0086517536366846,1.5143219928889626
2018-01-25,1.452126651298904,2.0030011325115837,2.5428172253253662,0.545613827193062,1.006687788993556,1.5194289813081647
2018-01-26,1.4447540345349843,2.016746906529335,2.55172988481445,0.5550133944010138,1.002711928630588,1.5244885092269136
2018-01-29,1.4675309237952936,2.012407787970442,2.54699671829171,0.5530303436850899,1.0017613087658244,1.522716897525668
2018-01-30,1.4857216956972517,2.0145376101844974,2.534825254444396,0.5620696587885445,0.9998598664741902,1.5337650407866223
2018-01-31,1.4903974448220731,2.0065201250633202,2.5390860263453083,0.5534491617479934,1.0092657686329152,1.5392981673323087
2018-02-01,1.5017865509368737,1.9889847185027312,2.5347082788231807,0.5610275361950088,1.0031789036868175,1.5428328122579895
2018-02-02,1.479527196757293,1.9823362811128495,2.549026604985648,0.5575633715877536,1.0102627630767802,1.5460858667385202
2018-02-05,1.471651682351006,1.977475029757677,2.5513960814175554,0.5485727857295893,1.0109953156554867,1.5510055012845514
2018-02-06,1.4669521036192743,1.9742813731755107,2.552678155710689,0.5599626120947077,1.0182374747360528,1.5460272892483307
2018-02-07,1.464592302630605,1.965651146365457,2.5497242045777626,0.5677137937800931,1.0277331889984571,1.5470003272406356
2018-02-08,1.4596928624208652,1.9590503198641018,2.5624508872491787,0.5691963407213936,1.0282419748019356,1.5489162791675224
2018-02-09,1.4341925995057019,1.958951262969446,2.565319322928297,0.5694339059173383,1.0263515931443405,1.5469155988510095
2018-02-12,1.4380528456927875,1.9520192201214548,2.5620513267830476,0.5725104760490721,1.0267486661355312,1.5492395751982293
2018-02-13,1.4434893869755934,1.956910939114405,2.555698657130204,0.573872876094494,1.0261800421035006,1.5553980467003994
2018-02-14,1.4595083748914932,1.963045884976982,2.55511087269369,0.5683269444152937,1.016238243369068,1.5532892012615698
2018-02-15,1.4516252822437437,1.9844693746924624,2.547289697996452,0.5654425785267992,1.0255531256117785,1.5530170797597134
2018-02-16,1.4429236506659446,1.9946004940815736,2.555520717529883,0.5791676033510702,1.0270278357160656,1.5489141532804436
2018-02-19,1.4161238058063,1.9967884216065293,2.5410539810976895,0.5978727005494663,1.0200492406057593,1.5399792082313897
2018-02-20,1.413188137440391,1.9912060429365201,2.539937868871025,0.608811380086081,1.0076441006845689,1.5438738691339922
2018-02-21,1.4221992552510128,1.9938497691015862,2.5448189372317285,0.6121589476672195,0.9936785052869868,1.543745200159796
2018-02-22,1.4160815766290855,1.9967891327408334,2.5475558925926056,0.6097947044383059,0.9983013879071119,1.54398309724556
2018-02-23,1.437516024814522,1.9921693149397823,2.5418176288084804,0.6042074031810272,0.9945875224966693,1.5390492291546922
2018-02-26,1.4349500764566268,1.9992228975105584,2.547099698462133,0.5990814263080158,0.9918581184880384,1.5381217115095114
2018-02-27,1.4364199992995124,1.9866400153784214,2.5400113833550453,0.5952085526972084,0.9947870440752714,1.543604680455422
2018-02-28,1.4227889684936965,1.9844404168585839,2.539832306103071,0.6102667009871888,0.9916907551386607,1.5436087871393194
2018-03-01,1.4256611719454493,1.9894431429924404,2.5450470386789137,0.622910677061867,0.9949699016349818,1.5437547059295964
2018-03-02,1.4058679739969222,1.9868548856641117,2.5487503409148586,0.6281346257914148,0.995541486021242,1.5447923473189134
2018-03-05,1.4128049535470537,1.9849940960332482,2.543350028823503,0.621410333556525,0.9950367085223467,1.5386104366768811
2018-03-06,1.4200492353094079,1.9837540232825177,2.552929984956018,0.6276617250435022,0.9856002060881978,1.541735038997393
2018-03-07,1.433642149552773,1.976233612116328,2.553623541527902,0.625991405843928,0.9806818179495645,1.5354590484228139
2018-03-08,1.423442462365096,1.9867987205004958,2.559567504815415,0.6109203397734191,0.9842970301430858,1.5307609705164187
2018-03-09,1.4250480835480703,1.9776363814531905,2.571800312868801,0.6129300442352279,0.9802048992539014,1.5255148966713827
